incident_identifier,geographical_territory,incident_classification,incident_subtype,service_domain,equipment_provider,operational_zone,resolution_status,suspension_cause,urgency_level,affected_site,incident_summary,detection_timestamp,escalation_date,responsible_team,fault_category,resolution_summary,action_chronicle,reporter_identity,intervention_began,intervention_completed,root_cause_primary,resolution_method,root_cause_secondary,cause_additional,triggered_by_modification,resolver_identity,solved_category
INCME-100030,Rohan,Signal Core,Junction Point,RAN,Elven Forge Technologies,Hornburg,Resolved,RAN-001: Cell Service Interruption,MAJOR,Gateway-Rohan-Primary-08,"Reason for Outage: A complete cellular network outage was reported on our site, resulting in a loss of service for our clients. The root cause of the issue was a power outage at the eNodeB.

Restore Action: The issue was resolved by verifying the site outage, checking the backhaul status, checking the power status, attempting a remote ping, checking the eNodeB status, dispatching a field technician, and finalizing the status verification.

Actions taken:
- Verified the site outage
- Checked the backhaul status
- Checked the power status
- Attempted a remote ping
- Checked the eNodeB status
- Dispatched a field technician
- Finalized the status verification

Problem type: RAN-001
Resolution: The issue was resolved successfully, and the site was restored to service.

Output ONLY the close notes, nothing else.",2024-06-29 10:28:22,2024-06-29 11:11:22,LothlÃ³rien Link Guardians,ran_cell_site_down_recovery,RAN-001: Cell Service Interruption at Gateway-Rohan-Primary-08. Cell was administratively disabled during maintenance and not re-enabled. Configuration mismatch confirmed. Field dispatch initiated for hardware component requiring physical replacement. All alarms cleared and KPIs returned to baseline within 15 minutes. No further action required.,"2024-06-29 10:28 - Alarm: RAN-001: Cell Service Interruption at Gateway-Rohan-Primary-08. Severity: MAJOR. Active 12 minutes. Sector Alpha down, Beta and Gamma operational.
2024-06-29 10:32 - Connectivity check to Gateway-Rohan-Primary-08 — reachable, latency nominal.
2024-06-29 10:35 - Queried RF chain. RET controller not responding on Sector Alpha. Antenna tilt: 10°. PA status: active.
2024-06-29 10:38 - Queried element health at Gateway-Rohan-Primary-08. Equipment within operational limits.
2024-06-29 10:40 - Attempted remote generator start on Gateway-Rohan-Primary-08. COMMAND SUCCESS — operation completed.
2024-06-29 10:44 - Verified: Site operational, all services confirmed active. All sectors recovered. Alarms cleared.",Radagast the White,2024-06-29 10:28:22,2024-06-29 11:11:22,Cell completely unavailable for service,Resolved,RAN-001: Cell Service Interruption,0.2,FALSE,Radagast the White,soft_solve
INCME-100031,Mordor Surveillance Zone,Path Signals,Weather Watch,RAN,Elven Forge Technologies,Isengard,Resolved,RAN-008: Dormant Cell Detected,MAJOR,Spire-MordorSurveillanceZone-Primary-45,"NOC Engineer's Note:

The RRU Alarm was verified to be active, indicating a fault in the RRU. The Verification of RRU Alarm was done by checking the status of the RRU. The RRU Alarm was deemed as the root cause of the issue.

To resolve the issue, the following steps were taken:
1. Verify the CPRI/Fiber Link status to ensure there was no fault.
2. Verify the BBU status to ensure there was no fault.
3. Attempt RRU Reset to restore the RRU.
4. Verify Sector Status to ensure there was no fault.

The root cause of the issue was the extended period of no user activity for the RRU. This was verified by checking the status of the RRU and verifying that there was no fault. The RRU Alarm was verified as the root cause of the issue, and the steps outlined above were taken to resolve the issue.

The following actions were taken to ensure the issue was resolved:
1. Verify the CPRI/Fiber Link status to ensure there was no fault.
2. Verify the BBU status",2024-06-04 13:48:44,2024-06-04 14:31:44,Wizards Council Escalation,ran_rru_communication_recovery,RAN-008: Dormant Cell Detected at Spire-MordorSurveillanceZone-Primary-45. Interference pattern detected from adjacent site — handover parameters were misconfigured after recent optimization. Automated recovery sequence triggered after remote intervention. Recovery verified — all metrics within acceptable range. Incident closed.,"2024-06-04 13:49 - Alarm: RAN-008: Dormant Cell Detected at Spire-MordorSurveillanceZone-Primary-45. Severity: MAJOR. Active 8 minutes. Partial outage — 2 of 3 sectors affected.
2024-06-04 13:52 - Checked neighbors and topology. 2 neighbor sites also showing degraded metrics — possible area issue.
2024-06-04 13:56 - Queried element health at Spire-MordorSurveillanceZone-Primary-45. Equipment within operational limits.
2024-06-04 13:58 - Validated running configuration on Spire-MordorSurveillanceZone-Primary-45. No mismatches detected.
2024-06-04 14:00 - Attempted remote clear configuration on Spire-MordorSurveillanceZone-Primary-45. COMMAND FAILED — element not responding.
2024-06-04 14:03 - Recovery confirmed — Full recovery confirmed. Alarm cleared at 14:03. Metrics stable for 15 minutes.",Bergil of the Tower Guard,2024-06-04 13:48:44,2024-06-04 14:31:44,Cell operational but no user activity for extended period,Resolved,RAN-008: Dormant Cell Detected,0.4,FALSE,Bergil of the Tower Guard,soft_solve
INCME-100032,Rhovanion,Arcane Engines,Path Router,COMPUTE,Elven Forge Technologies,Dale,Resolved,CMP-002: Pod Container Creating,CRITICAL,Array-Rhovanion-Outer-05,"Closure Note:

1. Restore Action:
The root cause of the issue was a Pod stuck in ContainerCreating state. The issue was resolved by verifying the Container Alarm, escalating to DevOps, verifying the Container Recovery, and verifying the Pod was restored to its original state.

2. Reason for Outage:
The Pod stuck in ContainerCreating state was caused by a configuration issue with the application. The root cause was identified and resolved.

3. Outcome:
The issue was resolved and the Pod was restored to its original state. The root cause of the issue was identified and resolved, and the issue was closed.

Note: This closure note does not include any information about the specific configuration issues that led to the outage. This is intended to be a concise summary of the steps taken to resolve the issue.",2024-10-30 05:26:00,2024-10-30 05:53:00,Elven Signal Keepers,compute_container_crash_recovery,CMP-002: Pod Container Creating on Array-Rhovanion-Outer-05. Node resource exhaustion prevented pod scheduling. Horizontal autoscaler at maximum replica count. Automated recovery sequence triggered after remote intervention. All alarms cleared and KPIs returned to baseline within 15 minutes. No further action required.,"2024-10-30 05:27 - Alert: CMP-002: Pod Container Creating on gnb-scheduler-6f7c in namespace control-plane at Array-Rhovanion-Outer-05. Pod stuck in Terminating for 47 minutes.
2024-10-30 05:30 - Inspected logs for gnb-scheduler-6f7c: Pull error: dial tcp registry.internal:5000: connect: connection refused. Registry pod on same node is also down.
2024-10-30 05:34 - Queried orchestrator — gnb-scheduler-6f7c: CrashLoopBackOff. Image pull attempts: 8. Last error: connection refused.
2024-10-30 05:38 - Node health: Node healthy — issue isolated to pod.
2024-10-30 05:40 - Remote action: generator start. COMMAND SUCCESS — operation completed.
2024-10-30 05:42 - Ticket TK-20240031 created for core operations: Vendor escalation for firmware issue.
2024-10-30 05:46 - Diagnostics: Config audit: found stale resource limits from previous deployment.
2024-10-30 05:49 - Recovery check: Service fully restored. All metrics back to baseline. All probes passing.",Elfhelm of Helm's Deep,2024-10-30 05:26:00,2024-10-30 05:53:00,Pod stuck in ContainerCreating state,Resolved,CMP-002: Pod Container Creating,0.2,FALSE,Elfhelm of Helm's Deep,soft_solve
INCME-100033,Rohan,Relay Transport,Beacon Array,POWER,Elven Forge Technologies,Aldburg,Resolved,ENV-006: Battery High Temperature,WARNING,Tower-Rohan-Lower-84,"Reason for Outage: A battery thermal runaway risk was detected during the monitoring of the Battery Temperature Alarm. The root cause of the issue was isolated and resolved, and the system was brought back online. The incident was reported to the NOC team and documented in the incident closure notes. The resolution summary includes the following:

Restore Action:
- Verify Battery Temperature Alarm
- Check Battery Status
- Isolate Battery String
- Emergency Dispatch
- Monitor Battery Temperature

The root cause of the issue was identified as a battery thermal runaway risk, which was resolved by isolating the affected battery string and isolating the battery string from the Battery Temperature Alarm. The incident was documented in the incident closure notes and is now closed.",2024-10-26 19:39:57,2024-10-26 20:03:57,Rivendell Array Management,env_battery_temperature_response,ENV-006: Battery High Temperature at Tower-Rohan-Lower-84. Battery temperature alarm triggered by failed ventilation fan in battery room. Escalation ticket created for vendor engagement on firmware issue. All alarms cleared and KPIs returned to baseline within 15 minutes. No further action required.,"2024-10-26 19:39 - Environmental alarm: ENV-006: Battery High Temperature at Tower-Rohan-Lower-84. Battery bank temperature at 48°C — max rated 45°C.
2024-10-26 19:42 - External conditions: Maintenance window for HVAC was scheduled but not executed — vendor no-show.
2024-10-26 19:45 - Site health under environmental stress: All equipment operational but thermal warning on power amplifiers.
2024-10-26 19:47 - Validated running configuration on Tower-Rohan-Lower-84. No mismatches detected.
2024-10-26 19:51 - Executed SCTP reset: Partial success — 2 of 3 units recovered.
2024-10-26 19:53 - Environmental recovery: Partial recovery — monitoring for stability.",Aravir Wingfoot,2024-10-26 19:39:57,2024-10-26 20:03:57,Battery thermal runaway risk detected,Resolved,ENV-006: Battery High Temperature,0.2,FALSE,Aravir Wingfoot,hard_solve
INCME-100034,Rohan,Signal Core,Weather Watch,RAN,Elven Forge Technologies,Meduseld,Resolved,RAN-019: PTP Synchronization Failure,MINOR,Node-Rohan-West-51,"NOC engineer closed incident CIR-17-0013, which involved a failed Voice Quality Alert notification.

Restore Action:
- Verified Voice Quality Alert notification was successfully restored

Reason for Outage:
- The root cause of the failure was Precision Time Protocol timing reference lost
- The Voice Quality Alert notification was sent at 10:37 AM, but the timing reference was lost at 10:38 AM, resulting in a failed notification.

Outcome:
- The incident was successfully resolved and the Voice Quality Alert notification was restored.

Note: The Voice Quality Alert notification was sent using the Precision Time Protocol (PTP) timing reference, which is used to synchronize the timing of all devices on the network. The timing reference was lost due to a hardware failure.",2024-07-03 08:40:17,2024-07-03 08:55:17,Erebor Relay Division,ran_voice_quality_resolution,RAN-019: PTP Synchronization Failure at Node-Rohan-West-51. Cell was administratively disabled during maintenance and not re-enabled. Configuration mismatch confirmed. Configuration corrected and service restored remotely within SLA. Service restored. Monitoring for 24 hours to confirm stability. Root cause documented.,"2024-07-03 08:41 - Critical alarm received for Node-Rohan-West-51: RAN-019: PTP Synchronization Failure. Checked alarm system — confirmed active since 08:37. Sector Alpha down, Beta and Gamma operational.
2024-07-03 08:44 - Queried RF chain. Sector Beta: high VSWR (3.2:1), possible feeder issue. Antenna tilt: 10°. PA status: standby.
2024-07-03 08:48 - Connectivity check to Node-Rohan-West-51 — reachable, latency nominal.
2024-07-03 08:50 - Queried element health at Node-Rohan-West-51. Equipment within operational limits.
2024-07-03 08:52 - Validated running configuration on Node-Rohan-West-51. No mismatches detected.
2024-07-03 08:56 - Attempted remote unlock cells on Node-Rohan-West-51. SUCCESS — reboot initiated, monitoring.
2024-07-03 09:00 - Verified: Service fully restored. All metrics back to baseline. All sectors recovered. Alarms all cleared.",Aragorn the Heir,2024-07-03 08:40:17,2024-07-03 08:55:17,Precision Time Protocol timing reference lost,Resolved,RAN-019: PTP Synchronization Failure,0.4,FALSE,Aragorn the Heir,soft_solve
INCME-100035,Rohan,Arcane Engines,Weather Watch,POWER,Dwarven Network Systems,Grimslade,Pending Resolution,PWR-001: AC Power Failure,CRITICAL,Watch-Rohan-Outer-12,"Resolution Summary:

1. Verify AC Power Loss: After verifying that AC power was restored, the issue was resolved.

2. Check UPS Status: The UPS system was checked for any anomalies or issues, and they were resolved.

3. Verify Battery Runtime: The battery runtime was verified to ensure that it was still functioning properly.

4. Dispatch Field Technician: A field technician was dispatched to resolve the issue.

5. Notify Utility Provider: The utility provider was notified of the issue and the necessary steps were taken to restore power.

6. Final Verification: The issue was resolved and the power was restored.

Root cause: The interruption or failure of the commercial power supply.

Problem type: PWR-001.",2024-06-05 06:53:13,2024-06-05 07:27:13,Gondor Gateway Team,power_ac_failure_recovery,Commercial power supply interruption or failure at Watch-Rohan-Outer-12. DC rectifier module failure caused voltage drop below threshold. Backup rectifier activated but insufficient for full load. Escalation ticket created for vendor engagement on firmware issue. Service restored. Monitoring for 24 hours to confirm stability. Root cause documented.,"2024-06-05 06:55 - Checked alarm system — confirmed PWR-001: AC Power Failure active since 06:49. Site Watch-Rohan-Outer-12 showing power-related alarms.
2024-06-05 06:58 - Checked external factors near Watch-Rohan-Outer-12. No area-wide issues.
2024-06-05 07:01 - Power telemetry check — AC input: restored — stabilizing. UPS providing backup, battery at 82%. Generator running — full load.
2024-06-05 07:04 - Queried element health at Watch-Rohan-Outer-12. Equipment within operational limits.
2024-06-05 07:06 - Checked and adjusted power thresholds/configuration. Rolled back to last known good configuration.
2024-06-05 07:09 - Created P1 ticket TK-20240034 for power maintenance. Issue: Hardware replacement may be needed.
2024-06-05 07:13 - Verified recovery — Service fully restored. All metrics back to baseline. All alarms all cleared.",Elrohir of LothlÃ³rien,2024-06-05 06:53:13,2024-06-05 07:27:13,Commercial power supply interruption or failure,Pending Resolution,PWR-001: AC Power Failure,0.2,FALSE,Elrohir of LothlÃ³rien,soft_solve
INCME-100036,Rhovanion,Relay Transport,Junction Point,COMPUTE,Dwarven Network Systems,Beorn's Hall,Resolved,Node not functional,MAJOR,Point-Rhovanion-Central-49,"NOC Engineer's closure note:

Restore Action:
- Verified that the VM Alarm was triggered due to a Compute node being completely unavailable. The issue was resolved by verifying the VM recovery and escalating the issue to the Cloud Team.
- The root cause was confirmed to be the Compute node being completely unavailable.

Reason for Outage:
- The Compute node was completely unavailable, leading to a disruption in VM operations.

Close notes:
- Verified that the VM Alarm was triggered due to a Compute node being completely unavailable.
- The root cause was confirmed to be the Compute node being completely unavailable.
- Verified that the issue was resolved by verifying the VM recovery and escalating the issue to the Cloud Team.
- The root cause was confirmed to be the Compute node being completely unavailable.
- The root cause was confirmed to be the Compute node being completely unavailable.
- The root cause was confirmed to be the Compute node being completely unavailable.
- The root cause was confirmed to be the Compute node being completely unavailable.
- The root cause was confirmed to be",2024-08-11 13:37:30,2024-08-11 13:59:30,Bywater Observation Post,compute_vm_failure_recovery,Node not functional on Point-Rhovanion-Central-49. CrashLoopBackOff caused by OOM condition — memory limit too low for current traffic load. Escalation ticket created for vendor engagement on firmware issue. Full service restoration confirmed. Post-incident review scheduled.,"2024-08-11 13:39 - Alert: Node not functional on upf-data-plane-2e4a in namespace core-5g at Point-Rhovanion-Central-49. Pod stuck in Terminating for 47 minutes.
2024-08-11 13:43 - Orchestration: migrated workload to healthy node — Pods rescheduled on healthy nodes.
2024-08-11 13:45 - Checked compute node — Node CPU: 92%, Memory: 87%. Under resource pressure.
2024-08-11 13:47 - Validated running configuration on Point-Rhovanion-Central-49. No mismatches detected.
2024-08-11 13:50 - Remote action: SCTP reset. SUCCESS — reboot initiated, monitoring.
2024-08-11 13:54 - Verified — Full recovery confirmed. Alarm cleared at 13:52. Workload stable on new node.",Fredegar Bracegirdle,2024-08-11 13:37:30,2024-08-11 13:59:30,Compute node completely unavailable,Resolved,Node not functional,0.4,FALSE,Fredegar Bracegirdle,hard_solve
INCME-100037,Rivendell,Path Signals,Weather Watch,RAN,Elven Forge Technologies,Grey Havens,Resolved,RAN-019: PTP Synchronization Failure,MINOR,Spire-Rivendell-Inner-26,"Reopened from INCME-100034.

Resolution Summary:

1. Verify Voice Quality Alert: Voice Quality Alerts were received for a Precision Time Protocol (PTP) timing reference that was lost. The root cause of the issue was identified as a timing reference loss. The issue was resolved by verifying the PTP timing reference and restoring the Voice Quality Alerts.

2. Reason for Outage: The root cause of the issue was a timing reference loss.

3. Restore Action: Voice Quality Alerts were restored to normal levels.

4. Reason For Outage: The timing reference loss caused Voice Quality Alerts to be received.

5. Root cause: The PTP timing reference was lost.

6. Problem type: RAN-019.

7. Action taken: Verification of PTP timing reference.

8. Root cause: Precision Time Protocol timing reference lost.

9. Problem type: RAN-019.

10. Action taken: Restoring Voice Quality Alerts.

11. Root cause: Root cause of issue was identified as a timing",2024-07-05 05:55:17,2024-07-05 06:27:17,Orthanc Technical Review,ran_voice_quality_resolution,RAN-019: PTP Synchronization Failure at Spire-Rivendell-Inner-26. Software version mismatch after incomplete upgrade caused cell site router communication failure. Remote reset resolved the immediate issue. Underlying cause documented for follow-up. Full service restoration confirmed. Post-incident review scheduled.,"2024-07-05 05:56 - Critical alarm received for Spire-Rivendell-Inner-26: RAN-019: PTP Synchronization Failure. Checked alarm system — confirmed active since 05:48. Sector Alpha down, Beta and Gamma operational.
2024-07-05 06:00 - Connectivity check to Spire-Rivendell-Inner-26 — reachable, latency nominal.
2024-07-05 06:04 - Topology analysis: No common alarms on adjacent sites. Issue isolated to this element. Upstream path: down.
2024-07-05 06:08 - Queried element health at Spire-Rivendell-Inner-26. Equipment within operational limits.
2024-07-05 06:12 - Executed unlock cells — COMMAND FAILED — element not responding.
2024-07-05 06:14 - Created ticket TK-20240036 for transport team. Persistent fault after 2 remote attempts — need on-site investigation.
2024-07-05 06:16 - Verified: Site operational, all services confirmed active. All sectors recovered. Alarms cleared within 3 minutes.",GlÃ³in son of GlÃ³in,2024-07-05 05:55:17,2024-07-05 06:27:17,Precision Time Protocol timing reference lost,Resolved,RAN-019: PTP Synchronization Failure,0.2,TRUE,GlÃ³in son of GlÃ³in,soft_solve
INCME-100038,LothlÃ³rien,Arcane Engines,Weather Watch,RAN,Dwarven Network Systems,Eregion Post,Resolved,RAN-014: CSR Unreachable,MAJOR,Array-Lothlorien-Lower-12,"In summary, the NOC engineer resolved the issue of a cell site router management path being unavailable due to a faulty switch. The root cause was identified as a faulty switch. The issue was verified and resolved by verifying the Upgrade Failure, dispatching Field Support, and documenting and reporting the issue. The root cause was documented and reported. The engineer completed the resolution process by verifying the Upgrade Failure, discharging the incident, documenting and reporting the issue, and resolving it.",2024-10-03 19:19:57,2024-10-03 19:34:57,White Tower Operations,ran_software_upgrade_recovery,RAN-014: CSR Unreachable at Array-Lothlorien-Lower-12. Software version mismatch after incomplete upgrade caused cell site router communication failure. Remote corrective action applied successfully. Partial recovery achieved remotely. Field ticket remains open for permanent fix.,"2024-10-03 19:19 - Critical alarm received for Array-Lothlorien-Lower-12: RAN-014: CSR Unreachable. Checked alarm system — confirmed active since 19:12. Single sector degraded, others normal.
2024-10-03 19:22 - Connectivity check to Array-Lothlorien-Lower-12 — reachable, latency nominal.
2024-10-03 19:26 - Checked neighbors and topology. 2 neighbor sites also showing degraded metrics — possible area issue.
2024-10-03 19:29 - Queried element health at Array-Lothlorien-Lower-12. Equipment within operational limits.
2024-10-03 19:31 - Executed unlock cells — Partial success — 2 of 3 units recovered.
2024-10-03 19:34 - Verified: Site operational, all services confirmed active. All sectors operational and radiating. Alarms self-cleared after fix applied.",Anborn of Dol Amroth,2024-10-03 19:19:57,2024-10-03 19:34:57,Cell site router management path unavailable,Resolved,RAN-014: CSR Unreachable,0.4,FALSE,Anborn of Dol Amroth,hard_solve
INCME-100039,Dale Province,Signal Network,Power Source,RAN,Dwarven Network Systems,Esgaroth,Resolved,RAN-013: Site Communication Failure,CRITICAL,Spire-DaleProvince-Lower-09,"NOC Engineer: Investigation and Root Cause Analysis (RCA) completed.

The investigation revealed that a configuration change was made to the management network configuration that caused a complete loss of management connectivity to the site. The root cause of this issue was a configuration error that resulted in a mismatch between the network configuration and the management network configuration.

The root cause was addressed by performing a thorough RCA to identify the root cause and the necessary actions to resolve the issue. The following actions were taken:

1. Verification of Configuration Alert: A configuration alert was triggered, indicating a loss of management connectivity to the site.

2. Escalation to Engineering: The issue was escalated to Engineering for further investigation and analysis.

3. Verification of Performance: The performance of the management network was verified to ensure that it was operating correctly.

4. Root Cause Analysis: A root cause analysis was conducted to identify the root cause of the issue.

5. Recommendations: Recommendations were made for addressing the root cause of the issue and ensuring that the management network configuration is maintained correctly.

6. Restore Action: Restoration of the management network configuration",2024-07-04 00:30:36,2024-07-04 00:40:36,Osgiliath Bridge Operations,ran_parameter_correction,RAN-013: Site Communication Failure at Spire-DaleProvince-Lower-09. Investigation found sector outage caused by RU firmware lockup. CPRI link dropped between DU and affected RU. Field dispatch initiated for hardware component requiring physical replacement. Service restored. Monitoring for 24 hours to confirm stability. Root cause documented.,"2024-07-04 00:31 - Critical alarm received for Spire-DaleProvince-Lower-09: RAN-013: Site Communication Failure. Checked alarm system — confirmed active since 00:27. Sector Alpha down, Beta and Gamma operational.
2024-07-04 00:33 - Connectivity check to Spire-DaleProvince-Lower-09 — reachable, latency nominal.
2024-07-04 00:36 - Queried RF chain. Sector Beta: high VSWR (3.2:1), possible feeder issue. Antenna tilt: 4°. PA status: degraded.
2024-07-04 00:38 - Queried element health at Spire-DaleProvince-Lower-09. Equipment within operational limits.
2024-07-04 00:41 - Attempted remote reset on Spire-DaleProvince-Lower-09. Partial success — 2 of 3 units recovered.
2024-07-04 00:45 - Created ticket TK-20240038 for vendor support. Hardware replacement may be needed.
2024-07-04 00:49 - Verified: Partial recovery — monitoring for stability. All sectors operational and radiating. Alarms all cleared.",Paladin Baggins,2024-07-04 00:30:36,2024-07-04 00:40:36,Complete loss of management connectivity to site,Resolved,RAN-013: Site Communication Failure,0.2,FALSE,Paladin Baggins,hard_solve
INCME-100040,Dale Province,Path Signals,Relay Unit,RAN,Elven Forge Technologies,Bree,Resolved,RAN-002: Cell Administratively Disabled,CRITICAL,Hub-DaleProvince-Outer-05,"Incident Closure Summary:

Resolution: The root cause of the RAN-002 incident was due to a cell being locked or disabled by management action. The issue was resolved by verifying the Sector Alarm, checking the RF Chain Status, enabling capacity compensation, scheduling a field repair, verifying coverage impact, and verifying the correct management action was taken. The incident was escalated to a higher-level team for further investigation and resolution.

NOC Terminology:
- RAN-002: RF Chain Status issue
- Sector Alarm: Alarm generated by the RF Chain
- Capacity Compensation: Capacity adjustment to compensate for a cell being locked or disabled
- Field Repair: Repair of the affected RF Chain
- Verify Coverage Impact: Verification of the coverage impact of the RF Chain after repair

NOC Terminology:
- Cell locked: A cell is locked when its signal strength is below a certain threshold, which prevents it from transmitting data.
- Disabled: A cell is disabled when its signal strength is below a certain",2024-11-08 00:19:08,2024-11-08 00:54:08,Shire Monitoring Guild,ran_sector_outage_recovery,RAN-002: Cell Administratively Disabled at Hub-DaleProvince-Outer-05. Cell was administratively disabled during maintenance and not re-enabled. Configuration mismatch confirmed. Remote reset resolved the immediate issue. Underlying cause documented for follow-up. Recovery verified — all metrics within acceptable range. Incident closed.,"2024-11-08 00:20 - Critical alarm received for Hub-DaleProvince-Outer-05: RAN-002: Cell Administratively Disabled. Checked alarm system — confirmed active since 00:11. Site completely unreachable.
2024-11-08 00:24 - Connectivity check to Hub-DaleProvince-Outer-05 — reachable, latency nominal.
2024-11-08 00:28 - Topology analysis: Adjacent sites normal — confirms localized fault. Upstream path: healthy.
2024-11-08 00:32 - Queried element health at Hub-DaleProvince-Outer-05. Equipment within operational limits.
2024-11-08 00:34 - Attempted remote restart on Hub-DaleProvince-Outer-05. Partial success — 2 of 3 units recovered.
2024-11-08 00:38 - Recovery confirmed — Service fully restored. All metrics back to baseline. KPIs recovering — within 90% of baseline.",Saruman the White,2024-11-08 00:19:08,2024-11-08 00:54:08,Cell locked or disabled by management action,Resolved,RAN-002: Cell Administratively Disabled,0.4,FALSE,Saruman the White,hard_solve
INCME-100041,LothlÃ³rien,Relay Transport,Junction Point,POWER,Elven Forge Technologies,East Bight,Resolved,PWR-002: DC Rectifier Failure,MAJOR,Hub-Lothlorien-South-24,"After confirming the rectifier alarm, enabling battery monitoring, and performing a final status check, the NOC engineer has completed the incident closure notes for PWR-002, a power supply issue that occurred at the facility. The root cause of the issue was a DC power conversion unit malfunction. The engineer has recorded this in the incident closure notes and has provided a resolution summary that includes the following:

1. Restore Action: Enable battery monitoring and rectifier alarm
2. Reason For Outage: The malfunction of the DC power conversion unit

The engineer has also included the final status check, which confirmed that the issue was resolved and the power supply functioned correctly. The engineer has recorded this in the notes and has provided a resolution summary that includes the root cause and the resolution taken to restore the facility's power supply. The engineer has ensured that all necessary documentation is included in the notes, including the incident summary, the incident closure notes, and the final status check.",2024-08-25 23:52:32,2024-08-26 00:14:32,Dwarven Deep Network,power_dc_rectifier_recovery,DC power conversion unit malfunction at Hub-Lothlorien-South-24. Battery bank reached low-voltage disconnect threshold during extended commercial power outage. Escalation ticket created for vendor engagement on firmware issue. Partial recovery achieved remotely. Field ticket remains open for permanent fix.,"2024-08-25 23:53 - Verified alarm: PWR-002: DC Rectifier Failure at Hub-Lothlorien-South-24. Active for 10 minutes. Multiple downstream alarms generated.
2024-08-25 23:56 - Power telemetry check — AC input: restored — stabilizing. UPS providing backup, battery at 82%. Generator running — output unstable.
2024-08-26 00:00 - Queried element health at Hub-Lothlorien-South-24. Equipment within operational limits.
2024-08-26 00:02 - Executed remote command: power cycle. Result: COMMAND SUCCESS — operation completed.
2024-08-26 00:04 - Final check: Site operational, all services confirmed active. KPIs Metrics stable for 15 minutes.",Radagast the Brown,2024-08-25 23:52:32,2024-08-26 00:14:32,DC power conversion unit malfunction,Resolved,PWR-002: DC Rectifier Failure,0.2,FALSE,Radagast the Brown,soft_solve
INCME-100042,Rohan,Arcane Engines,Path Router,POWER,Dwarven Network Systems,Dunharrow,Resolved,PWR-002: DC Rectifier Failure,MAJOR,Gateway-Rohan-Central-74,"NOC Engineer's Note:

On [Date], an issue was detected in the [DC Power Conversion Unit (PWR-002)] that resulted in a loss of power to the [System/Appliance/Equipment (S/A/E)] for [Duration of Outage]. The root cause of the issue was a malfunction of the DC power conversion unit, which resulted in a voltage drop and loss of power.

Restore Action:

The issue was resolved by confirming the rectifier alarm, checking the DC bus voltage, and scheduling field replacement. The final status check was conducted to ensure that the issue had been resolved.

Reason for Outage:

The malfunction of the DC power conversion unit resulted in a loss of power to the S/A/E, which caused a significant disruption in the system's functionality.

Conclusion:

The resolution of this issue was successful, and the system's functionality was restored. The root cause of the issue was identified and rectified, and the necessary steps were taken to ensure that similar issues do not occur in the future.",2024-10-16 14:40:14,2024-10-16 15:08:14,Dwarven Deep Network,power_dc_rectifier_recovery,DC power conversion unit malfunction at Gateway-Rohan-Central-74. DC rectifier module failure caused voltage drop below threshold. Backup rectifier activated but insufficient for full load. Remote reset resolved the immediate issue. Underlying cause documented for follow-up. Partial recovery achieved remotely. Field ticket remains open for permanent fix.,"2024-10-16 14:40 - Verified alarm: PWR-002: DC Rectifier Failure at Gateway-Rohan-Central-74. Active for 12 minutes. Multiple downstream alarms generated.
2024-10-16 14:44 - Checked external factors near Gateway-Rohan-Central-74. No area-wide issues.
2024-10-16 14:46 - Queried element health at Gateway-Rohan-Central-74. Equipment within operational limits.
2024-10-16 14:48 - Created P2 ticket TK-20240041 for RF engineering. Issue: Persistent fault after 2 remote attempts — need on-site investigation.
2024-10-16 14:52 - Final check: Service fully restored. All metrics back to baseline. KPIs Metrics stable for 15 minutes.",Hamfast Bracegirdle,2024-10-16 14:40:14,2024-10-16 15:08:14,DC power conversion unit malfunction,Resolved,PWR-002: DC Rectifier Failure,0.4,FALSE,Hamfast Bracegirdle,soft_solve
